GPK,ATC,MainGroup,SubGroup,Generic,Product,Label,Shape,Routes,Concentration,Unit,Multiple,MultipeUnit,Indications,HasSolution,InStock
80624,R05CB01,HOEST- EN VERKOUDHEIDSMIDDELEN,"EXPECTORANTIA, EXCL COMB.PREP. MET HOESTPRIKKELDEMP.MIDD.",acetylCYSTeine,ACETYLCYSTEINE 600 MG SACHET,ACETYLCYSTEINE 600MG POEDER,poeder voor oraal gebruik,or,600,mg/stuk,600,mg,Paracetamol intoxicatie||Cystic Fibrosis||Productieve hoest||Blaasaugmentatie na operatie, ,x
38539,R05CB01,HOEST- EN VERKOUDHEIDSMIDDELEN,"EXPECTORANTIA, EXCL COMB.PREP. MET HOESTPRIKKELDEMP.MIDD.",acetylCYSTeine,FLUIMUCIL 100 MG/ML AMPUL 4 ML,ACETYLCYSTEINE 100MG/ML VER,vernevelvloeistof,inh,100,mg/ml,10,mg,Paracetamol intoxicatie||Cystic Fibrosis||Productieve hoest||Blaasaugmentatie na operatie, ,x
117153,B01AC06,ANTITHROMBOTICA,ANTITHROMBOTICA,acetylSALIcylzuur,ACETYLSALICYLZUUR NEURO 30 MG TABLET,ACETYLSALICYLZUUR 30MG DISP,dispergeerbare tablet,or,30,mg/stuk,30,mg,Trombocytenaggregatie remming||Ziekte van Kawasaki, ,x
117145,B01AC06,ANTITHROMBOTICA,ANTITHROMBOTICA,acetylSALIcylzuur,ACETYLSALICYLZUUR CARDIO 80 MG TABLET,ACETYLSALICYLZUUR 80MG DISP,dispergeerbare tablet,or,80,mg/stuk,40,mg,Trombocytenaggregatie remming||Ziekte van Kawasaki, ,x
10154,N02BA01,ANALGETICA,OVERIGE ANALGETICA EN ANTIPYRETICA,acetylSALIcylzuur,ASPEGIC (500MG ACETYLSALICYLZUUR/STUK),ACETYLSAL.ZUUR 500MG INJPDR,injectiepoeder,iv,500,mg/stuk,10,mg,Trombocytenaggregatie remming||Ziekte van Kawasaki, ,x
109983,J05AB01,ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK,DIRECT WERKENDE ANTIVIRALE MIDDELEN,aciclovir,ACICLOVIR 25 MG/ML FLACON 10ML,ACICLOVIR 25MG/ML INF CONC,concentraat voor oplossing voor infusie,iv,25,mg/ml,2.5,mg,"herpes encefalitis/varicella zoster-infectie bij immuungecompromitteerden||Herpes simplex infecties, recidiverende Varicella zoster-infectie||Herpes neonatorum",x,x
54577,J05AB01,ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK,DIRECT WERKENDE ANTIVIRALE MIDDELEN,aciclovir,ACICLOVIR 50 MG/G KOORTSLIPCREME 3 G,ACICLOVIR CREME 50MG/G,creme,cutaan,50,mg/gr,1,keer,Herpes labialis, ,x
74462,J05AB01,ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK,DIRECT WERKENDE ANTIVIRALE MIDDELEN,aciclovir,ZOVIRAX 40 MG/ML SUSPENSIE 125 ML,ACICLOVIR 40MG/ML SUSPENSIE,suspensie voor oraal gebruik,or,40,mg/ml,40,mg,"HSV/VSV infectie||Ooginfectie, herpes simplex||Koortslip||Congenitale HSV infectie||Herpes simplex encefalitis||VZV infectie bij immuungecompromitteerde patiënten||Herpes simplex infecties (normale en deficiente immuunrespons), varicella zoster (normale immuunrespons)", ,x
54003,J05AB01,ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK,DIRECT WERKENDE ANTIVIRALE MIDDELEN,aciclovir,ACICLOVIR 200 MG TABLET,ACICLOVIR 200MG TABLET,tablet,or,200,mg/stuk,200,mg,"HSV/VSV infectie||Ooginfectie, herpes simplex||Koortslip||Congenitale HSV infectie||Herpes simplex encefalitis||VZV infectie bij immuungecompromitteerde patiënten||Herpes simplex infecties (normale en deficiente immuunrespons), varicella zoster (normale immuunrespons)", ,x
72125,J05AB01,ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK,DIRECT WERKENDE ANTIVIRALE MIDDELEN,aciclovir,ACICLOVIR 800 MG TABLET,ACICLOVIR 800MG TABLET,tablet,or,800,mg/stuk,400,mg,"HSV/VSV infectie||Ooginfectie, herpes simplex||Koortslip||Congenitale HSV infectie||Herpes simplex encefalitis||VZV infectie bij immuungecompromitteerde patiënten||Herpes simplex infecties (normale en deficiente immuunrespons), varicella zoster (normale immuunrespons)", ,x
41084,J05AB01,ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK,DIRECT WERKENDE ANTIVIRALE MIDDELEN,aciclovir,ACICLOVIR 3 % OOGZALF 4.5G,ACICLOVIR OOGZALF 30MG/G,zalf,oog,30,mg/gr,1,keer,Herpes keratitis, ,x
118621,L04AB04,IMMUNOSUPPRESSIVA,IMMUNOSUPPRESSIVA,adalimumab,"HUMIRA 40 KIND INJVLST 50 MG/M LFLACON 0,8 ML",ADALIMUMAB 50MG/ML INJVLST,injectievloeistof,sc,50,mg/ml,50,mg,"Ziekte van Crohn||Polyarticulaire juveniele idiopathische artritis, enthesitis gerelateerde artritis, psoriasis, uveitis||Overige autoinflammatoire aandoeningen die niet reageren op de conventionele therapie, waaronder sarcoïdose, Blau syndroom en Chronische Recidiverende Multifocale Osteomyelitis (CRMO)/Synovitis, Acne, Pustulose, Hyperostose en Ostitis (SAPHO)||Hidradenitis suppurativa", ,x
160539,L04AB04,IMMUNOSUPPRESSIVA,IMMUNOSUPPRESSIVA,adalimumab,"HUMIRA 40 INJVLST 100 MG/ML PEN 0,4 ML",ADALIMUMAB 100MG/ML INJVLST,injectievloeistof,sc,100,mg/ml,100,mg,"Ziekte van Crohn||Polyarticulaire juveniele idiopathische artritis, enthesitis gerelateerde artritis, psoriasis, uveitis||Overige autoinflammatoire aandoeningen die niet reageren op de conventionele therapie, waaronder sarcoïdose, Blau syndroom en Chronische Recidiverende Multifocale Osteomyelitis (CRMO)/Synovitis, Acne, Pustulose, Hyperostose en Ostitis (SAPHO)||Hidradenitis suppurativa", ,x
124567,D10AD03,ACNEPREPARATEN,"ACNEPREPARATEN, LOKALE",adapaleen,DIFFERIN 1 MG/ GRAM 60 GRAM,ADAPALEEN 1MG/G GEL,gel,cutaan,1,mg/gr,1,keer,Acne vulgaris, ,x
92789,C01EB10,CARDIACA,OVERIGE CARDIACA,adenosine,ADENOCOR 3MG/ML FLACON 2ML,ADENOSINE 3MG/ML INJVLST,injectievloeistof,iv,3,mg/ml,0.3,mg,Supraventriculaire tachycardie, ,x
170976,C01CA24,CARDIACA,"HARTSTIMULANTIA, EXCLUSIEF HARTGLYCOSIDEN",adrenaline,"ADRENALINE 0,1 MG/ML INJVLST WWSP 10ML","ADRENALINE 0,1MG/ML INJVLST",injectievloeistof,im||iv||sc||card||trachpulm||intraoss,0.1,mg/ml,10,mcg,"Reanimatie||Positief inotroop en chronotroop effect||Vasoconstrictie, toename bloeddruk||Laryngitis subglottica (pseudokroep)||Anafylactische shock", ,x
170933,C01CA24,CARDIACA,"HARTSTIMULANTIA, EXCLUSIEF HARTGLYCOSIDEN",adrenaline,EPIPEN 0.15 MG AUTO-INJECTOR WWSP 0.3ML,"ADRENALINE 0,5MG/ML INJVLST",injectievloeistof,im,0.5,mg/ml,0.5,mg,"Reanimatie||Positief inotroop en chronotroop effect||Vasoconstrictie, toename bloeddruk||Laryngitis subglottica (pseudokroep)||Anafylactische shock", ,x
170925,C01CA24,CARDIACA,"HARTSTIMULANTIA, EXCLUSIEF HARTGLYCOSIDEN",adrenaline,ADRENALINE 1 MG/ML AMPUL 1ML,ADRENALINE 1MG/ML INJVLST,injectievloeistof,im,1,mg/ml,1,mg,"Reanimatie||Positief inotroop en chronotroop effect||Vasoconstrictie, toename bloeddruk||Laryngitis subglottica (pseudokroep)||Anafylactische shock", ,x
128295,B05AA01,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,BLOEDPRODUCTEN EN VERWANTE MIDDELEN,albumine,ALBUMAN 40 MG/ML FLACON 100 ML,ALBUMINE 40MG/ML INFVLST,infusievloeistof,iv,40,mg/ml,40,mg,Hypovolumie met aangetoonde hypoalbuminemie als co-morbiditeit||Ernstige hyperbilirubinemie, ,x
11975,B05AA01,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,BLOEDPRODUCTEN EN VERWANTE MIDDELEN,albumine,ALBUMAN 200 MG/ML INFUSIEVLST 10 ML,ALBUMINE 200MG/ML INFVLST,infusievloeistof,iv,200,mg/ml,200,mg,Hypovolumie met aangetoonde hypoalbuminemie als co-morbiditeit||Ernstige hyperbilirubinemie, ,x
154784,M05BA04,MIDDELEN BIJ BOTZIEKTEN,BOTSTRUCTUUR EN BOTMINERALISATIEBEINVLOEDENDE MIDDELEN,alendroninezuur,ALENDRONINEZUUR 10 MG TABLET,ALENDRONINEZUUR 10MG TABLET,tablet,or,10,mg/stuk,10,mg,"Osteogenesis imperfecta, remming botresoptie", ,x
154792,M05BA04,MIDDELEN BIJ BOTZIEKTEN,BOTSTRUCTUUR EN BOTMINERALISATIEBEINVLOEDENDE MIDDELEN,alendroninezuur,ALENDRONINEZUUR 70 MG TABLET,ALENDRONINEZUUR 70MG TABL,tablet,or,70,mg/stuk,70,mg,"Osteogenesis imperfecta, remming botresoptie", ,x
36331,A11CC03,VITAMINEN,"VITAMINEN A EN D, INCLUSIEF COMBINATIES VAN DEZE TWEE",alfacalcidol,"ALFACALCIDOL 0,25 MICROGRAM CAPSULE","ALFACALCIDOL 0,25UG CAPSULE",capsule,or,0.25,mcg/stuk,0.25,mcg,"Osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 3 en 4 (predialysepatiënten):||Osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 5 (dialysepatiënten)||Rachitis||Chronische hypocalciemie", ,x
11509,A11CC03,VITAMINEN,"VITAMINEN A EN D, INCLUSIEF COMBINATIES VAN DEZE TWEE",alfacalcidol,ETALPHA 1 MICROGRAM CAPSULE,ALFACALCIDOL 1UG CAPSULE,capsule,or,1,mcg/stuk,1,mcg,"Osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 3 en 4 (predialysepatiënten):||Osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 5 (dialysepatiënten)||Rachitis||Chronische hypocalciemie", ,x
45411,A11CC03,VITAMINEN,"VITAMINEN A EN D, INCLUSIEF COMBINATIES VAN DEZE TWEE",alfacalcidol,ETALPHA 2 MICROG/ML DRUPPELS 20ML,ALFACALCIDOL 2UG/ML DRUPPEL,druppels voor oraal gebruik,or,2,mcg/ml,2,mcg,"Osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 3 en 4 (predialysepatiënten):||Osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 5 (dialysepatiënten)||Rachitis||Chronische hypocalciemie", ,x
85839,A11CC03,VITAMINEN,"VITAMINEN A EN D, INCLUSIEF COMBINATIES VAN DEZE TWEE",alfacalcidol,"ETALPHA 2 MICROG/ ML AMPUL 0,5 ML",ALFACALCIDOL 2UG/ML INJVLST,injectievloeistof,iv,2,mcg/ml,2,mcg,"Osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 3 en 4 (predialysepatiënten):||Osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 5 (dialysepatiënten)||Rachitis||Chronische hypocalciemie", ,x
44644,N01AH02,ANAESTHETICA,ALGEMENE ANAESTHETICA,alfentanil,"RAPIFEN 0,5MG/ML AMPUL 10ML","ALFENTANIL 0,5MG/ML INJVLST",injectievloeistof,iv,500,mcg/ml,50,mcg,Pijnstilling bij spontaan ademend kind||Pijnstilling tijdens anaesthesie (aan beademing), ,x
39837,A02BX13,MIDDELEN BIJ ZUURGERELATEERDE AFWIJKINGEN,MIDDELEN BIJ ULCUS PEPTICUM EN GASTRO-OESOFAGEALE REFLUX,alginezuur+natriumwaterstofcarbonaat,GAVISCON ANIJS SUSPENSIE 200ML,ALGINEZUUR/NAHCO3 SUSPENSIE,suspensie voor oraal gebruik,or,26.7,mg/ml,1,ml,Gastro-oesofageale reflux, ,x
18058,R06AD01,ANTIHISTAMINICA VOOR SYSTEMISCH GEBRUIK,ANTIHISTAMINICA VOOR SYSTEMISCH GEBRUIK,alimemazine,NEDELTRAN 5 MG TABLET,ALIMEMAZINE 5MG TABLET,tablet,or,5,mg/stuk,5,mg,Premedicatie||Allergische aandoeningen waarbij niet-sederende antihistaminica niet of onvoldoende effectief zijn gebleken||Als adjuvans bij andere sedativa, ,x
98019287,M04AA01,JICHTMIDDELEN,JICHTMIDDELEN,allopurinol,ALLOPURINOL 25 MG CAPSULE (WKZ),ALLOPURINOL 25 MG CAPSULE (,capsule,or,25,mg/stuk,25,mg,"Glycogeen stapelingsziekte||Hyperurikemie, tumor lysis syndroom ||Lesch-Nyhan, HPRT deficientie", ,x
2224,M04AA01,JICHTMIDDELEN,JICHTMIDDELEN,allopurinol,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100MG TABLET,tablet,or,100,mg/stuk,50,mg,"Glycogeen stapelingsziekte||Hyperurikemie, tumor lysis syndroom ||Lesch-Nyhan, HPRT deficientie", ,x
12467,M04AA01,JICHTMIDDELEN,JICHTMIDDELEN,allopurinol,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300MG TABLET,tablet,or,300,mg/stuk,300,mg,"Glycogeen stapelingsziekte||Hyperurikemie, tumor lysis syndroom ||Lesch-Nyhan, HPRT deficientie", ,x
82309,N05BA12,PSYCHOLEPTICA,ANXIOLYTICA,ALPRAZolam,"ALPRAZOLAM 0,25 MG TABLET","ALPRAZOLAM 0,25MG TABLET",tablet,or,0.25,mg/stuk,0.125,mg,Premedicatie||Kortdurende behandeling van acute angst en plotselinge extreme slapeloosheid, ,x
82317,N05BA12,PSYCHOLEPTICA,ANXIOLYTICA,ALPRAZolam,"ALPRAZOLAM 0,5 MG TABLET","ALPRAZOLAM 0,5MG TABLET",tablet,or,0.5,mg/stuk,0.25,mg,Premedicatie||Kortdurende behandeling van acute angst en plotselinge extreme slapeloosheid, ,x
103608,N05BA12,PSYCHOLEPTICA,ANXIOLYTICA,ALPRAZolam,"XANAX 0,5 MG TABLET RETARD","ALPRAZOLAM 0,5MG TABLET MGA",tablet met gereguleerde afgifte,or,0.5,mg/stuk,0.5,mg,Premedicatie||Kortdurende behandeling van acute angst en plotselinge extreme slapeloosheid, ,x
103616,N05BA12,PSYCHOLEPTICA,ANXIOLYTICA,ALPRAZolam,XANAX 1 MG TABLET MGA (RETARD),ALPRAZOLAM 1MG TABLET MGA,tablet met gereguleerde afgifte,or,1,mg/stuk,1,mg,Premedicatie||Kortdurende behandeling van acute angst en plotselinge extreme slapeloosheid, ,x
65498,C01EA01,CARDIACA,OVERIGE CARDIACA,alprostadil,"PROSTIN VR INF 0,5MG/ML AMP","ALPROSTADIL 0,5MG/ML INFCON",concentraat voor oplossing voor infusie,iv,0.5,mg/ml,0.5,mg,"Openhouden ductus arteriosus, in afwachting van operatie", ,x
89664,B01AD02,ANTITHROMBOTICA,ANTITHROMBOTICA,alteplase,ACTILYSE 20 MG POEDER VOOR INJECTIE,ALTEPLASE 20MG INFPDR,poeder voor oplossing voor infusie,iv,20,mg/stuk,20,mg,Trombolyse, ,x
69205,B01AD02,ANTITHROMBOTICA,ANTITHROMBOTICA,alteplase,ACTILYSE 50 MG POEDER VOOR INJECTIE,ALTEPLASE 50MG INFPDR,poeder voor oplossing voor infusie,iv,50,mg/stuk,50,mg,Trombolyse, ,x
15652,A07AA07,ANTIMICROBIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK,ANTIMYCOTICA VOOR SYSTEMISCH GEBRUIK,amfotericine-b,FUNGIZONE 100 MG/ML SUSPENSIE 40ML,AMFOTERICINE B 100MG/ML SUS,drank,or,100,mg/ml,10,mg,"Selectieve darmdecontaminatie, stomatitis mycotica en (profylaxe) intestinale schimmelinfecties", ,x
106488,J02AA01,ANTIMYCOTICA VOOR SYSTEMISCH GEBRUIK,ANTIMYCOTICA VOOR SYSTEMISCH GEBRUIK,amfotericine-b-lipide-COMPLEX,ABELCET 5 MG/ML FLACON 20ML,AMFOTERICINE LIPC 5MG/ML IC,concentraat voor oplossing voor infusie,iv,5,mg/ml,5,mg,Systemische mycosen, ,x
92266,J02AA01,ANTIMYCOTICA VOOR SYSTEMISCH GEBRUIK,ANTIMYCOTICA VOOR SYSTEMISCH GEBRUIK,amfotericine-b-lipoSOMAAL,AMBISOME 50 MG POEDER VOOR INFUSIE,AMFOTERICINE LIP 50MG INFP,poeder voor oplossing voor infusie,iv,50,mg/stuk,0.4,mg,Systemische mycosen||Pulmirespiratoire mycosen||Viscerale Leishmaniasis,x,x
86649,J01GB06,ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK,AMINOGLYCOSIDEN,amikacine,AMIKACINE 250 MG/ML FLACON 2 ML,AMIKACINE 250MG/ML INJVLST,injectievloeistof,iv,250,mg/ml,25,mg,"Infecties bij Cystic Fibrosis||Kortdurende behandeling van ernstige infecties veroorzaakt door voor amikacine gevoelige stammen van Gram negatieve micro-organismen, inclusief Pseudomonas species, speciaal indien deze resistent zijn tegen andere aminoglycosiden",x,x
65366,C01BD01,CARDIACA,ANTI-ARITMISCHE MIDDELEN KLASSE I EN III,amiodaron,CORDARONE  50MG/ML AMPUL 3 ML,AMIODARON 50MG/ML INJVLST,injectievloeistof,iv,50,mg/ml,5,mg,Ernstige therapieresistente hartritmestoornissen, ,x
5886,C01BD01,CARDIACA,ANTI-ARITMISCHE MIDDELEN KLASSE I EN III,amiodaron,AMIODARON 200 MG TABLET,AMIODARON 200MG TABLET,tablet,or,200,mg/stuk,100,mg,Ernstige therapieresistente hartritmestoornissen, ,x
21687,N06AA09,PSYCHOANALEPTICA,ANTIDEPRESSIVA,amitriptyline,AMITRIPTYLINE HCL 10 MG TABLET,AMITRIPTYLINE 10MG TABLET,tablet,or,10,mg/stuk,10,mg,Enuresis nocturna||Neuropathische pijn||Hoofdpijn (profylaxe), ,x
21695,N06AA09,PSYCHOANALEPTICA,ANTIDEPRESSIVA,amitriptyline,AMITRIPTYLINE 25 MG TABLET (HCL),AMITRIPTYLINE 25MG TABLET,tablet,or,25,mg/stuk,25,mg,Enuresis nocturna||Neuropathische pijn||Hoofdpijn (profylaxe), ,x
155616,C08CA01,CALCIUMANTAGONISTEN,SELECTIEVE CALCIUMANTAGONISTEN MET VNL VASCULAIRE WERKING,amLODIPine,AMLODIPINE 5 MG TABLET,AMLODIPINE 5MG TABLET,tablet,or,5,mg/stuk,5,mg,Hypertensie, ,x
155624,C08CA01,CALCIUMANTAGONISTEN,SELECTIEVE CALCIUMANTAGONISTEN MET VNL VASCULAIRE WERKING,amLODIPine,AMLODIPINE 10 MG TABLET,AMLODIPINE 10MG TABLET,tablet,or,10,mg/stuk,10,mg,Hypertensie, ,x
15423,J01CA04,ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK,"BETALACTAM-ANTIBIOTICA, PENICILLINES",amoxicilline,AMOXICILLINE 500MG CAPSULE,AMOXICILLINE 500MG CAPSULE,capsule,or,500,mg/stuk,500,mg,"Ernstige infecties||Infecties||Meningitis||Eradicatie H.Pylori (triple therapie)||Endocarditis profylaxe (ingrepen in mondholte, bovenste luchtwegen, tractus urogenitalis en tractus digestivus)||Vroege gelokaliseerde en gedissemineerde Lymeziekte, m.u.v. meningitis en lymecarditis||Postexpositieprofylaxe antrax", ,x
117056,J01CA04,ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK,"BETALACTAM-ANTIBIOTICA, PENICILLINES",amoxicilline,AMOXICILLINE 250 MG DISPER TABLET,AMOXICILLINE 250MG DISPTAB,dispergeerbare tablet,or,250,mg/stuk,125,mg,"Ernstige infecties||Infecties||Meningitis||Eradicatie H.Pylori (triple therapie)||Endocarditis profylaxe (ingrepen in mondholte, bovenste luchtwegen, tractus urogenitalis en tractus digestivus)||Vroege gelokaliseerde en gedissemineerde Lymeziekte, m.u.v. meningitis en lymecarditis||Postexpositieprofylaxe antrax", ,x
117072,J01CA04,ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK,"BETALACTAM-ANTIBIOTICA, PENICILLINES",amoxicilline,AMOXICILLINE 375 MG DISPER TABLET,AMOXICILLINE 375MG DISPTAB,dispergeerbare tablet,or,375,mg/stuk,375,mg,"Ernstige infecties||Infecties||Meningitis||Eradicatie H.Pylori (triple therapie)||Endocarditis profylaxe (ingrepen in mondholte, bovenste luchtwegen, tractus urogenitalis en tractus digestivus)||Vroege gelokaliseerde en gedissemineerde Lymeziekte, m.u.v. meningitis en lymecarditis||Postexpositieprofylaxe antrax", ,x
117099,J01CA04,ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK,"BETALACTAM-ANTIBIOTICA, PENICILLINES",amoxicilline,AMOXICILLINE 750 MG DISPER TABLET,AMOXICILLINE 750MG DISPTAB,dispergeerbare tablet,or,750,mg/stuk,750,mg,"Ernstige infecties||Infecties||Meningitis||Eradicatie H.Pylori (triple therapie)||Endocarditis profylaxe (ingrepen in mondholte, bovenste luchtwegen, tractus urogenitalis en tractus digestivus)||Vroege gelokaliseerde en gedissemineerde Lymeziekte, m.u.v. meningitis en lymecarditis||Postexpositieprofylaxe antrax", ,x
13730,J01CA04,ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK,"BETALACTAM-ANTIBIOTICA, PENICILLINES",amoxicilline,AMOXICILLINE 250 MG POEDER VOOR INJECTIE,AMOXICILLINE 250MG INJPDR,poeder voor injectievloeistof,iv,250,mg/stuk,5,mg,"Ernstige infecties||Infecties||Meningitis||Eradicatie H.Pylori (triple therapie)||Endocarditis profylaxe (ingrepen in mondholte, bovenste luchtwegen, tractus urogenitalis en tractus digestivus)||Vroege gelokaliseerde en gedissemineerde Lymeziekte, m.u.v. meningitis en lymecarditis||Postexpositieprofylaxe antrax", ,x
13749,J01CA04,ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK,"BETALACTAM-ANTIBIOTICA, PENICILLINES",amoxicilline,AMOXICILLINE 500 MG POEDER VOOR INJECTIE,AMOXICILLINE 500MG INJPDR,poeder voor injectievloeistof,iv,500,mg/stuk,5,mg,"Ernstige infecties||Infecties||Meningitis||Eradicatie H.Pylori (triple therapie)||Endocarditis profylaxe (ingrepen in mondholte, bovenste luchtwegen, tractus urogenitalis en tractus digestivus)||Vroege gelokaliseerde en gedissemineerde Lymeziekte, m.u.v. meningitis en lymecarditis||Postexpositieprofylaxe antrax", ,x
13757,J01CA04,ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK,"BETALACTAM-ANTIBIOTICA, PENICILLINES",amoxicilline,AMOXICILLINE 1000 MG POEDER VOOR INJECTIE,AMOXICILLINE 1000MG INJPDR,poeder voor injectievloeistof,iv,1000,mg/stuk,5,mg,"Ernstige infecties||Infecties||Meningitis||Eradicatie H.Pylori (triple therapie)||Endocarditis profylaxe (ingrepen in mondholte, bovenste luchtwegen, tractus urogenitalis en tractus digestivus)||Vroege gelokaliseerde en gedissemineerde Lymeziekte, m.u.v. meningitis en lymecarditis||Postexpositieprofylaxe antrax", ,x
