Generic,Shape,Route,Indication,Specialty,Gender,MinAgeMo,MaxAgeMo,MinWghtKg,MaxWghtKg,MinGestDays,MaxGestDays,MinPMAge,MaxPMAge,Frequencies,Unit,NormDose,MinDose,MaxDose,AbsMaxDose,MaxPerDose,DosePerKg,DosePerM2
acetylCYSTeine,capsule,or,blaasaugmentatie na operatie,,,,,,,,,,,,mg,,,,,,,
acetylCYSTeine,poeder voor oraal gebruik,or,blaasaugmentatie na operatie,,,,,,,,,,,,mg,,,,,,,
acetylCYSTeine,vernevelvloeistof,inh,cystic fibrosis,,,,,,,,,,,,mg,,,,,,,
acetylCYSTeine,vernevelvloeistof,inh,cystic fibrosis,,,1,240,,,,,,,1 x / dag||2 x / dag||3 x / dag||4 x / dag,mg,,,,1600,400,,
acetylCYSTeine,infusievloeistof,intravesic,cystic fibrosis,,,,,,,,,,,,mg,,,,,,,
acetylCYSTeine,infusievloeistof,iv,cystic fibrosis,,,,,,,,,,,,mg,,,,,,,
acetylCYSTeine,capsule,or,cystic fibrosis,,,,,,,,,,,,mg,,,,,,,
acetylCYSTeine,poeder voor oraal gebruik,or,cystic fibrosis,,,,,,,,,,,,mg,,,,,,,
acetylCYSTeine,vernevelvloeistof,inh,paracetamol intoxicatie,,,,,,,,,,,,mg,,,,,,,
acetylCYSTeine,infusievloeistof,intravesic,paracetamol intoxicatie,,,,,,,,,,,,mg,,,,,,,
acetylCYSTeine,infusievloeistof,iv,paracetamol intoxicatie,,,,,,,,,,,,mg,,,,,,,
acetylCYSTeine,capsule,or,paracetamol intoxicatie,,,,,,,,,,,,mg,,,,,,,
acetylCYSTeine,capsule,or,paracetamol intoxicatie,,,1,240,,,,,,,6 x / dag,mg,450,,495,,,x,
acetylCYSTeine,poeder voor oraal gebruik,or,paracetamol intoxicatie,,,,,,,,,,,,mg,,,,,,,
acetylCYSTeine,poeder voor oraal gebruik,or,paracetamol intoxicatie,,,1,240,,,,,,,6 x / dag,mg,450,,495,,,x,
acetylCYSTeine,vernevelvloeistof,inh,productieve hoest,,,,,,,,,,,,mg,,,,,,,
acetylCYSTeine,infusievloeistof,intravesic,productieve hoest,,,,,,,,,,,,mg,,,,,,,
acetylCYSTeine,infusievloeistof,iv,productieve hoest,,,,,,,,,,,,mg,,,,,,,
acetylCYSTeine,capsule,or,productieve hoest,,,,,,,,,,,,mg,,,,,,,
acetylCYSTeine,capsule,or,productieve hoest,,,24,84,,,,,,,2 x / dag,mg,,,,400,,,
acetylCYSTeine,capsule,or,productieve hoest,,,84,240,,,,,,,1 x / dag||2 x / dag||3 x / dag,mg,,,,600,,,
acetylCYSTeine,poeder voor oraal gebruik,or,productieve hoest,,,,,,,,,,,,mg,,,,,,,
acetylCYSTeine,poeder voor oraal gebruik,or,productieve hoest,,,24,84,,,,,,,2 x / dag,mg,,,,400,,,
acetylCYSTeine,poeder voor oraal gebruik,or,productieve hoest,,,84,240,,,,,,,1 x / dag||2 x / dag||3 x / dag,mg,,,,600,,,
acetylSALIcylzuur,injectiepoeder,iv,trombocytenaggregatie remming,,,,,,,,,,,,mg,,,,,,,
acetylSALIcylzuur,injectiepoeder,iv,trombocytenaggregatie remming,,,1,240,,,,,,,1 x / dag,mg,,,,30,,,
acetylSALIcylzuur,dispergeerbare tablet,or,trombocytenaggregatie remming,,,,,,,,,,,,mg,,,,,,,
acetylSALIcylzuur,dispergeerbare tablet,or,trombocytenaggregatie remming,,,1,240,,,,,,,1 x / dag,mg,,,,24,,,
acetylSALIcylzuur,injectiepoeder,iv,ziekte van kawasaki,,,,,,,,,,,,mg,,,,,,,
acetylSALIcylzuur,dispergeerbare tablet,or,ziekte van kawasaki,,,,,,,,,,,,mg,,,,,,,
acetylSALIcylzuur,dispergeerbare tablet,or,ziekte van kawasaki,,,1,240,,,,,,,1 x / dag,mg,,2.4,4,,,x,
aciclovir,suspensie voor oraal gebruik,or,congenitale hsv infectie,,,,,,,,,,,,mg,,,,,,,
aciclovir,tablet,or,congenitale hsv infectie,,,,,,,,,,,,mg,,,,,,,
aciclovir,concentraat voor oplossing voor infusie,iv,herpes encefalitis/varicella zoster-infectie bij immuungecompromitteerden,,,,,,,,,,,,mg,,,,,,,
aciclovir,concentraat voor oplossing voor infusie,iv,herpes encefalitis/varicella zoster-infectie bij immuungecompromitteerden,,,36,240,,,,,,,3 x / dag,mg,1500,,1650,,,,x
aciclovir,concentraat voor oplossing voor infusie,iv,herpes encefalitis/varicella zoster-infectie bij immuungecompromitteerden,,,,1,,,,259,,,3 x / dag,mg,60,,66,,,x,
aciclovir,concentraat voor oplossing voor infusie,iv,herpes encefalitis/varicella zoster-infectie bij immuungecompromitteerden,,,,1,,,259,,,,4 x / dag,mg,80,,88,,,x,
aciclovir,concentraat voor oplossing voor infusie,iv,herpes encefalitis/varicella zoster-infectie bij immuungecompromitteerden,,,1,36,,,,,,,4 x / dag,mg,80,,88,,,x,
aciclovir,zalf,oog,herpes keratitis,,,,,,,,,,,,keer,,,,,,,
aciclovir,zalf,oog,Herpes keratitis,,,,,,,,,,,5 x / dag,keer,5,,5,5,1,,
aciclovir,creme,cutaan,herpes labialis,,,,,,,,,,,,keer,,,,,,,
aciclovir,creme,cutaan,Herpes labialis,,,,,,,,,,,5 x / dag,keer,5,,5,5,1,,
aciclovir,concentraat voor oplossing voor infusie,iv,herpes neonatorum,,,,,,,,,,,,mg,,,,,,,
aciclovir,concentraat voor oplossing voor infusie,iv,Herpes neonatorum,,,,1,,,,259,,,3 x / dag,mg,60,,66,,,x,
aciclovir,concentraat voor oplossing voor infusie,iv,Herpes neonatorum,,,,,,,259,,,,4 x / dag,mg,80,,88,,,x,
aciclovir,suspensie voor oraal gebruik,or,herpes simplex encefalitis,,,,,,,,,,,,mg,,,,,,,
aciclovir,tablet,or,herpes simplex encefalitis,,,,,,,,,,,,mg,,,,,,,
aciclovir,suspensie voor oraal gebruik,or,"herpes simplex infecties (normale en deficiente immuunrespons), varicella zoster (normale immuunrespons)",,,,,,,,,,,,mg,,,,,,,
aciclovir,suspensie voor oraal gebruik,or,"herpes simplex infecties (normale en deficiente immuunrespons), varicella zoster (normale immuunrespons)",,,3,144,,,,,,,3 x / dag,mg,750,,825,,,,x
aciclovir,suspensie voor oraal gebruik,or,"herpes simplex infecties (normale en deficiente immuunrespons), varicella zoster (normale immuunrespons)",,,144,240,,,,,,,3 x / dag,mg,15,,16.5,,,x,
aciclovir,tablet,or,"herpes simplex infecties (normale en deficiente immuunrespons), varicella zoster (normale immuunrespons)",,,,,,,,,,,,mg,,,,,,,
aciclovir,tablet,or,"herpes simplex infecties (normale en deficiente immuunrespons), varicella zoster (normale immuunrespons)",,,3,144,,,,,,,3 x / dag,mg,750,,825,,,,x
aciclovir,tablet,or,"herpes simplex infecties (normale en deficiente immuunrespons), varicella zoster (normale immuunrespons)",,,144,240,,,,,,,3 x / dag,mg,15,,16.5,,,x,
aciclovir,concentraat voor oplossing voor infusie,iv,"herpes simplex infecties, recidiverende varicella zoster-infectie",,,,,,,,,,,,mg,,,,,,,
aciclovir,concentraat voor oplossing voor infusie,iv,"Herpes simplex infecties, recidiverende Varicella zoster-infectie",,,36,144,,,,,,,3 x / dag,mg,750,,825,,,,x
aciclovir,concentraat voor oplossing voor infusie,iv,"Herpes simplex infecties, recidiverende Varicella zoster-infectie",,,144,240,,,,,,,3 x / dag,mg,15,,16.5,,,x,
aciclovir,suspensie voor oraal gebruik,or,hsv/vsv infectie,,,,,,,,,,,,mg,,,,,,,
aciclovir,tablet,or,hsv/vsv infectie,,,,,,,,,,,,mg,,,,,,,
aciclovir,suspensie voor oraal gebruik,or,koortslip,,,,,,,,,,,,mg,,,,,,,
aciclovir,tablet,or,koortslip,,,,,,,,,,,,mg,,,,,,,
aciclovir,suspensie voor oraal gebruik,or,"ooginfectie, herpes simplex",,,,,,,,,,,,mg,,,,,,,
aciclovir,tablet,or,"ooginfectie, herpes simplex",,,,,,,,,,,,mg,,,,,,,
aciclovir,suspensie voor oraal gebruik,or,vzv infectie bij immuungecompromitteerde patiënten,,,,,,,,,,,,mg,,,,,,,
aciclovir,tablet,or,vzv infectie bij immuungecompromitteerde patiënten,,,,,,,,,,,,mg,,,,,,,
adalimumab,injectievloeistof,sc,hidradenitis suppurativa,,,,,,,,,,,,mg,,,,,,,
adalimumab,injectievloeistof,sc,hidradenitis suppurativa,,,144,240,,,,,,,1 x / 2 weken,mg,40,,40,,40,,
adalimumab,injectievloeistof,sc,"overige autoinflammatoire aandoeningen die niet reageren op de conventionele therapie, waaronder sarcoïdose, blau syndroom en chronische recidiverende multifocale osteomyelitis (crmo)/synovitis, acne, pustulose, hyperostose en ostitis (sapho)",,,,,,,,,,,,mg,,,,,,,
adalimumab,injectievloeistof,sc,"overige autoinflammatoire aandoeningen die niet reageren op de conventionele therapie, waaronder sarcoïdose, blau syndroom en chronische recidiverende multifocale osteomyelitis (crmo)/synovitis, acne, pustulose, hyperostose en ostitis (sapho)",,,,,,30,,,,,1 x / 2 weken,mg,20,,20,,20,,
adalimumab,injectievloeistof,sc,"overige autoinflammatoire aandoeningen die niet reageren op de conventionele therapie, waaronder sarcoïdose, blau syndroom en chronische recidiverende multifocale osteomyelitis (crmo)/synovitis, acne, pustulose, hyperostose en ostitis (sapho)",,,,,30,,,,,,1 x / 2 weken,mg,40,,40,,40,,
adalimumab,injectievloeistof,sc,"polyarticulaire juveniele idiopathische artritis, enthesitis gerelateerde artritis, psoriasis, uveitis",,,,,,,,,,,,mg,,,,,,,
adalimumab,injectievloeistof,sc,"polyarticulaire juveniele idiopathische artritis, enthesitis gerelateerde artritis, psoriasis, uveitis",,,,,,30,,,,,1 x / 2 weken,mg,20,,20,,20,,
adalimumab,injectievloeistof,sc,"polyarticulaire juveniele idiopathische artritis, enthesitis gerelateerde artritis, psoriasis, uveitis",,,,,30,,,,,,1 x / 2 weken,mg,40,,40,,40,,
adalimumab,injectievloeistof,sc,ziekte van crohn,,,,,,,,,,,,mg,,,,,,,
adalimumab,injectievloeistof,sc,ziekte van crohn,,,72,,,40,,,,,1 x / week||1 x / 2 weken,mg,20,,20,,20,,
adalimumab,injectievloeistof,sc,ziekte van crohn,,,,,40,,,,,,1 x / week||1 x / 2 weken,mg,80,,80,,80,,
adapaleen,gel,cutaan,acne vulgaris,,,,,,,,,,,,keer,,,,,,,
adapaleen,gel,cutaan,acne vulgaris,,,144,,,,,,,,1 x / dag,keer,1,,1,1,,,
adenosine,injectievloeistof,iv,supraventriculaire tachycardie,,,,,,,,,,,,mg,,,,,,,
adrenaline,injectievloeistof,card,anafylactische shock,,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,im,anafylactische shock,,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,intraoss,anafylactische shock,,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,iv,anafylactische shock,,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,sc,anafylactische shock,,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,trachpulm,anafylactische shock,,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,card,laryngitis subglottica (pseudokroep),,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,im,laryngitis subglottica (pseudokroep),,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,intraoss,laryngitis subglottica (pseudokroep),,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,iv,laryngitis subglottica (pseudokroep),,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,sc,laryngitis subglottica (pseudokroep),,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,trachpulm,laryngitis subglottica (pseudokroep),,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,card,positief inotroop en chronotroop effect,,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,im,positief inotroop en chronotroop effect,,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,intraoss,positief inotroop en chronotroop effect,,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,iv,positief inotroop en chronotroop effect,,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,sc,positief inotroop en chronotroop effect,,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,trachpulm,positief inotroop en chronotroop effect,,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,card,reanimatie,,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,im,reanimatie,,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,intraoss,reanimatie,,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,iv,reanimatie,,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,sc,reanimatie,,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,trachpulm,reanimatie,,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,card,"vasoconstrictie, toename bloeddruk",,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,im,"vasoconstrictie, toename bloeddruk",,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,intraoss,"vasoconstrictie, toename bloeddruk",,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,iv,"vasoconstrictie, toename bloeddruk",,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,sc,"vasoconstrictie, toename bloeddruk",,,,,,,,,,,,mcg,,,,,,,
adrenaline,injectievloeistof,trachpulm,"vasoconstrictie, toename bloeddruk",,,,,,,,,,,,mcg,,,,,,,
albumine,infusievloeistof,iv,ernstige hyperbilirubinemie,,,,,,,,,,,,mg,,,,,,,
albumine,infusievloeistof,iv,hypovolumie met aangetoonde hypoalbuminemie als co-morbiditeit,,,,,,,,,,,,mg,,,,,,,
alendroninezuur,tablet,or,"osteogenesis imperfecta, remming botresoptie",,,,,,,,,,,,mg,,,,,,,
alendroninezuur,tablet,or,"osteogenesis imperfecta, remming botresoptie",,,36,240,,,,,,,1 x / dag,mg,,,,10,,,
alfacalcidol,injectievloeistof,iv,chronische hypocalciemie,,,,,,,,,,,,mcg,,,,,,,
alfacalcidol,capsule,or,chronische hypocalciemie,,,,,,,,,,,,mcg,,,,,,,
alfacalcidol,capsule,or,chronische hypocalciemie,,,,1,,,259,,,,antenoctum||1 x / dag,mcg,,0.04,0.08,,,x,
alfacalcidol,capsule,or,chronische hypocalciemie,,,1,240,,,,,,,antenoctum||1 x / dag,mcg,,,,2,,,
alfacalcidol,druppels voor oraal gebruik,or,chronische hypocalciemie,,,,,,,,,,,,mcg,,,,,,,
alfacalcidol,druppels voor oraal gebruik,or,chronische hypocalciemie,,,,1,,,259,,,,antenoctum||1 x / dag,mcg,,0.04,0.08,,,x,
alfacalcidol,druppels voor oraal gebruik,or,chronische hypocalciemie,,,1,240,,,,,,,antenoctum||1 x / dag,mcg,,,,2,,,
alfacalcidol,injectievloeistof,iv,"osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 3 en 4 (predialysepatiënten):",,,,,,,,,,,,mcg,,,,,,,
alfacalcidol,capsule,or,"osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 3 en 4 (predialysepatiënten):",,,,,,,,,,,,mcg,,,,,,,
alfacalcidol,capsule,or,"osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 3 en 4 (predialysepatiënten):",,,1,240,,,,,,,1 x / dag,mcg,,0.0002,0.039,,,x,
alfacalcidol,druppels voor oraal gebruik,or,"osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 3 en 4 (predialysepatiënten):",,,,,,,,,,,,mcg,,,,,,,
alfacalcidol,druppels voor oraal gebruik,or,"osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 3 en 4 (predialysepatiënten):",,,1,240,,,,,,,1 x / dag,mcg,,0.0002,0.039,,,x,
alfacalcidol,injectievloeistof,iv,"osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 5 (dialysepatiënten)",,,,,,,,,,,,mcg,,,,,,,
alfacalcidol,injectievloeistof,iv,"osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 5 (dialysepatiënten)",,,1,240,,,,,,,1 x / week,mcg,,0.58,3.47,6.93,,,x
alfacalcidol,capsule,or,"osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 5 (dialysepatiënten)",,,,,,,,,,,,mcg,,,,,,,
alfacalcidol,capsule,or,"osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 5 (dialysepatiënten)",,,1,240,,,,,,,1 x / dag,mcg,,0.01,0.02,,,x,
alfacalcidol,druppels voor oraal gebruik,or,"osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 5 (dialysepatiënten)",,,,,,,,,,,,mcg,,,,,,,
alfacalcidol,druppels voor oraal gebruik,or,"osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 5 (dialysepatiënten)",,,1,240,,,,,,,1 x / dag,mcg,,0.01,0.02,,,x,
alfacalcidol,injectievloeistof,iv,rachitis,,,,,,,,,,,,mcg,,,,,,,
alfacalcidol,capsule,or,rachitis,,,,,,,,,,,,mcg,,,,,,,
alfacalcidol,capsule,or,rachitis,,,1,240,,,,,,,1 x / dag,mcg,,,,2,,,
alfacalcidol,druppels voor oraal gebruik,or,rachitis,,,,,,,,,,,,mcg,,,,,,,
alfacalcidol,druppels voor oraal gebruik,or,rachitis,,,1,240,,,,,,,1 x / dag,mcg,,,,2,,,
alfentanil,injectievloeistof,iv,pijnstilling bij spontaan ademend kind,,,,,,,,,,,,mcg,,,,,,,
alfentanil,injectievloeistof,iv,pijnstilling tijdens anaesthesie (aan beademing),,,,,,,,,,,,mcg,,,,,,,
alginezuur+natriumwaterstofcarbonaat,suspensie voor oraal gebruik,or,gastro-oesofageale reflux,,,,,,,,,,,,ml,,,,,,,
alginezuur+natriumwaterstofcarbonaat,suspensie voor oraal gebruik,or,gastro-oesofageale reflux,,,12,120,,,,,,,4 x / dag,ml,40,,40,40,,,
alginezuur+natriumwaterstofcarbonaat,suspensie voor oraal gebruik,or,gastro-oesofageale reflux,,,120,240,,,,,,,2 x / dag||3 x / dag||4 x / dag,ml,,10,20,80,,,
alimemazine,tablet,or,allergische aandoeningen waarbij niet-sederende antihistaminica niet of onvoldoende effectief zijn gebleken,,,,,,,,,,,,mg,,,,,,,
alimemazine,tablet,or,allergische aandoeningen waarbij niet-sederende antihistaminica niet of onvoldoende effectief zijn gebleken,,,24,240,,,,,,,3 x / dag||4 x / dag,mg,,0.75,1,,,x,
alimemazine,tablet,or,als adjuvans bij andere sedativa,,,,,,,,,,,,mg,,,,,,,
alimemazine,tablet,or,premedicatie,,,,,,,,,,,,mg,,,,,,,
alimemazine,tablet,or,premedicatie,,,24,240,,,,,,,1 x / dag,mg,2,,2.2,,,x,
allopurinol,capsule,or,glycogeen stapelingsziekte,,,,,,,,,,,,mg,,,,,,,
allopurinol,capsule,or,glycogeen stapelingsziekte,,,,240,,,,,,,3 x / dag,mg,,10,20,600,,x,
allopurinol,tablet,or,glycogeen stapelingsziekte,,,,,,,,,,,,mg,,,,,,,
allopurinol,tablet,or,glycogeen stapelingsziekte,,,,240,,,,,,,3 x / dag,mg,,10,20,600,,x,
allopurinol,capsule,or,"hyperurikemie, tumor lysis syndroom",,,,,,,,,,,,mg,,,,,,,
allopurinol,capsule,or,"hyperurikemie, tumor lysis syndroom",,,1,240,,,,,,,3 x / dag,mg,300,,,600,,,x
allopurinol,tablet,or,"hyperurikemie, tumor lysis syndroom",,,,,,,,,,,,mg,,,,,,,
allopurinol,tablet,or,"hyperurikemie, tumor lysis syndroom",,,1,240,,,,,,,3 x / dag,mg,300,,,600,,,x
allopurinol,capsule,or,"lesch-nyhan, hprt deficientie",,,,,,,,,,,,mg,,,,,,,
allopurinol,capsule,or,"lesch-nyhan, hprt deficientie",,,,240,,,,,,,1 x / dag||2 x / dag||3 x / dag,mg,,4,10,600,,x,
allopurinol,tablet,or,"lesch-nyhan, hprt deficientie",,,,,,,,,,,,mg,,,,,,,
allopurinol,tablet,or,"lesch-nyhan, hprt deficientie",,,,240,,,,,,,1 x / dag||2 x / dag||3 x / dag,mg,,4,10,600,,x,
ALPRAZolam,tablet,or,kortdurende behandeling van acute angst en plotselinge extreme slapeloosheid,,,,,,,,,,,,mg,,,,,,,
ALPRAZolam,tablet,or,kortdurende behandeling van acute angst en plotselinge extreme slapeloosheid,,,72,240,,,,,,,3 x / dag,mg,,,0.05,,,x,
ALPRAZolam,tablet met gereguleerde afgifte,or,kortdurende behandeling van acute angst en plotselinge extreme slapeloosheid,,,,,,,,,,,,mg,,,,,,,
ALPRAZolam,tablet met gereguleerde afgifte,or,kortdurende behandeling van acute angst en plotselinge extreme slapeloosheid,,,72,240,,,,,,,3 x / dag,mg,,,0.05,,,x,
ALPRAZolam,tablet,or,premedicatie,,,,,,,,,,,,mg,,,,,,,
ALPRAZolam,tablet,or,premedicatie,,,6,240,,,,,,,3 x / dag,mg,0.015,,0.06,,,x,
ALPRAZolam,tablet met gereguleerde afgifte,or,premedicatie,,,,,,,,,,,,mg,,,,,,,
ALPRAZolam,tablet met gereguleerde afgifte,or,premedicatie,,,6,240,,,,,,,3 x / dag,mg,0.015,,0.06,,,x,
alprostadil,concentraat voor oplossing voor infusie,iv,"openhouden ductus arteriosus, in afwachting van operatie",,,,,,,,,,,,mg,,,,,,,
alteplase,poeder voor oplossing voor infusie,iv,trombolyse,,,,,,,,,,,,mg,,,,,,,
amfotericine-b,drank,or,"selectieve darmdecontaminatie, stomatitis mycotica en (profylaxe) intestinale schimmelinfecties",,,,,,,,,,,,mg,,,,,,,
amfotericine-b,drank,or,"selectieve darmdecontaminatie, stomatitis mycotica en (profylaxe) intestinale schimmelinfecties",,,,,5,10,,,,,3 x / dag,mg,,,,75,,,
amfotericine-b,drank,or,"selectieve darmdecontaminatie, stomatitis mycotica en (profylaxe) intestinale schimmelinfecties",,,,,10,20,,,,,3 x / dag,mg,,,,150,,,
amfotericine-b,drank,or,"selectieve darmdecontaminatie, stomatitis mycotica en (profylaxe) intestinale schimmelinfecties",,,,,20,30,,,,,4 x / dag,mg,,,,200,,,
amfotericine-b,drank,or,"selectieve darmdecontaminatie, stomatitis mycotica en (profylaxe) intestinale schimmelinfecties",,,,,30,,,,,,4 x / dag,mg,,,,400,,,
amfotericine-b-lipide-COMPLEX,concentraat voor oplossing voor infusie,iv,systemische mycosen,,,,,,,,,,,,mg,,,,,,,
amfotericine-b-lipide-COMPLEX,concentraat voor oplossing voor infusie,iv,systemische mycosen,,,,1,,,259,,,,1 x / dag,mg,,2.5,5,,,x,
amfotericine-b-lipide-COMPLEX,concentraat voor oplossing voor infusie,iv,systemische mycosen,,,1,18,,,,,,,1 x / dag,mg,,3,5.5,,,x,
amfotericine-b-lipoSOMAAL,poeder voor oplossing voor infusie,iv,pulmirespiratoire mycosen,,,,,,,,,,,,mg,,,,,,,
